objectid,nom,commune_code,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,nature_u_1,patronyme,secteur_pu
1735,Ecole primaire d'application LA FONTAINE,75116,PARIS,75016,75,646798.399999999,6861656.1045,41 bis rue la Fontaine,ECOLE ELEMENTAIRE D APPLICATION,LA FONTAINE,Public
1736,Ecole primaire AQUEDUC,75110,PARIS,75010,75,653351.600000001,6864905.3045,39 rue de l'Aqueduc,ECOLE DE NIVEAU ELEMENTAIRE,AQUEDUC,Public
1737,Ecole primaire B,75120,PARIS,75020,75,655963.799999997,6861269.6045,9 rue de la Plaine,ECOLE DE NIVEAU ELEMENTAIRE,PLAINE EB,Public
1738,Ecole primaire PEREIRE,75117,PARIS,75017,75,647882.299999997,6864726.4045,221 boulevard Pereire,ECOLE DE NIVEAU ELEMENTAIRE,PEREIRE,Public
1739,Ecole primaire d'application B ROMAINVILLE EB,75119,PARIS,75019,75,656229.799999997,6864316.0045,59 rue de Romainville,ECOLE ELEMENTAIRE D APPLICATION,ROMAINVILLE EB,Public
1740,Ecole primaire TELEGRAPHE,75120,PARIS,75020,75,655930.399999999,6863860.5045,29 rue du Télégraphe,ECOLE DE NIVEAU ELEMENTAIRE,TELEGRAPHE,Public
1741,Ecole primaire TLEMCEN,75120,PARIS,75020,75,655035.700000003,6862902.8045,9 rue de Tlemcen,ECOLE DE NIVEAU ELEMENTAIRE,TLEMCEN,Public
1742,Ecole primaire VAUVENARGUES,75118,PARIS,75018,75,650995.899999999,6866354.1045,50 rue Vauvenargues,ECOLE DE NIVEAU ELEMENTAIRE,VAUVENARGUES,Public
1743,Ecole maternelle ALESIA V,75114,PARIS,75014,75,651540.0,6858708.3045,3 bis rue d'Alésia,ECOLE MATERNELLE,ALESIA V,Public
1744,Ecole maternelle AMIRAUX,75118,PARIS,75018,75,652370.899999999,6866263.9045,19 rue des Amiraux,ECOLE MATERNELLE,AMIRAUX,Public
1745,Ecole maternelle AQUEDUC C,75110,PARIS,75010,75,653351.600000001,6864905.3045,39 rue de l'Aqueduc,ECOLE MATERNELLE,AQUEDUC C,Public
1746,Ecole maternelle BELLIARD K,75118,PARIS,75018,75,651272.700000003,6866461.9045,131 rue Belliard,ECOLE MATERNELLE,BELLIARD K,Public
1747,Ecole maternelle LACHAMBAUDIE,75112,PARIS,75012,75,654998.700000003,6859621.6045,2 place Lachambaudie,ECOLE MATERNELLE,LACHAMBAUDIE,Public
1748,Ecole maternelle CENDRIERS,75120,PARIS,75020,75,655020.799999997,6863008.4045,20 rue des Cendriers,ECOLE MATERNELLE,CENDRIERS,Public
1749,Ecole maternelle ST DOMINIQUE,75107,PARIS,75007,75,648957.399999999,6862325.1045,117 bis rue Saint Dominique,ECOLE MATERNELLE,ST DOMINIQUE,Public
1750,Ecole maternelle RENAUDES,75117,PARIS,75017,75,648495.0,6864749.6045,31 rue des Renaudes,ECOLE MATERNELLE,RENAUDES,Public
1751,Ecole maternelle ELISA LEMONNIER,75112,PARIS,75012,75,655187.700000003,6860261.7045,15 rue Elisa Lemonnier,ECOLE MATERNELLE,ELISA LEMONNIER,Public
1752,Ecole maternelle EPINETTES E,75117,PARIS,75017,75,650444.600000001,6866550.8045,44 rue des Epinettes,ECOLE MATERNELLE,EPINETTES E,Public
1753,Ecole maternelle GUSTAVE ROUANET W,75118,PARIS,75018,75,651723.5,6866457.2045,1 RUE GUSTAVE ROUANET,ECOLE MATERNELLE,GUSTAVE ROUANET W,Public
1754,Ecole maternelle PLACE JEANNE D'ARC,75113,PARIS,75013,75,653619.799999997,6859131.1045,32 place Jeanne d'Arc,ECOLE MATERNELLE,PLACE JEANNE D'ARC,Public
1755,Ecole maternelle MAURICE D OCAGNE C,75114,PARIS,75014,75,649613.5,6858493.7045,5 avenue Maurice d'Ocagne,ECOLE MATERNELLE,MAURICE D OCAGNE C,Public
1756,Ecole maternelle MORILLONS,75115,PARIS,75015,75,648615.0,6859432.3045,40 rue des Morillons,ECOLE MATERNELLE,MORILLONS,Public
1757,Ecole maternelle MOSCOU,75108,PARIS,75008,75,650568.0,6864657.4045,7 rue de Moscou,ECOLE MATERNELLE,MOSCOU,Public
1758,Ecole maternelle OLIVIER DE SERRES N,75115,PARIS,75015,75,648363.299999997,6859724.9045,34 rue Olivier de Serres,ECOLE MATERNELLE,OLIVIER DE SERRES N,Public
1759,Ecole maternelle PAUL DUBOIS,75103,PARIS,75003,75,653148.899999999,6863000.5045,6 rue Paul Dubois,ECOLE MATERNELLE,PAUL DUBOIS,Public
1760,Ecole maternelle PAUL GERVAIS,75113,PARIS,75013,75,652102.0,6859251.7045,2 rue Paul Gervais,ECOLE MATERNELLE,PAUL GERVAIS,Public
1761,Ecole maternelle PIERRE BULLET,75110,PARIS,75010,75,652913.299999997,6863698.0045,4 rue Pierre Bullet,ECOLE MATERNELLE,PIERRE BULLET,Public
1762,Ecole maternelle ROQUEPINE,75108,PARIS,75008,75,650011.399999999,6863918.4045,16 rue Roquepine,ECOLE MATERNELLE,ROQUEPINE,Public
1763,Ecole maternelle ROQUETTE,75111,PARIS,75011,75,654677.700000003,6862180.8045,144 rue de la Roquette,ECOLE MATERNELLE,ROQUETTE,Public
1764,Ecole maternelle ST BERNARD N,75111,PARIS,75011,75,654546.799999997,6861641.8045,39 rue Saint Bernard,ECOLE MATERNELLE,ST BERNARD N,Public
1765,Ecole maternelle TELEGRAPHE W,75120,PARIS,75020,75,655930.399999999,6863860.5045,29 rue du Télégraphe,ECOLE MATERNELLE,TELEGRAPHE W,Public
